Lap Number_1,Lap time (secs)_1,Lap Number_2,Lap time (secs)_2,Track Distance (metres),Total race time (mins),,,,
1,119.9,1,116.7,1210,90,,,,
2,465.0,2,111.3,,,,,,
3,113.3,3,109.5,,,,,,
4,111.2,4,111.5,,,,,,
5,109.7,5,108.9,,,,,,
6,113.2,6,113.9,,,,,,
7,115.2,7,113.9,,,,,,
8,267.9,8,109.3,,,,,,
9,111.6,9,109.6,,,,,,
10,111.5,10,111.9,,,,,,
11,112.7,11,113.7,,,,,,
12,111.9,12,112.4,,,,,,
13,112.8,13,283.5,,,,,,
14,113.8,14,121.3,,,,,,
15,113.7,15,116.6,,,,,,
16,114.9,16,118.4,,,,,,
17,115.4,17,113.8,,,,,,
18,117.4,18,115.1,,,,,,
19,121.2,19,807.2,,,,,,
20,304.4,20,126.7,,,,,,
21,127.2,21,120.3,,,,,,
22,129.4,22,116.5,,,,,,
23,131.7,23,365.2,,,,,,
24,133.6,24,169.2,,,,,,
25,138.2,25,152.7,,,,,,
26,141.9,26,150.1,,,,,,
27,148.3,27,151.2,,,,,,
28,151.6,28,148.2,,,,,,
29,157.5,29,169.2,,,,,,
30,161.2,30,152.7,,,,,,
31,168.7,31,150.1,,,,,,
32,182.7,32,151.2,,,,,,
33,202.7,33,148.2,,,,,,
34,252.6,34,155.9,,,,,,
,,35,139.1,,,,,,
,,36,142.2,,,,,,
,,37,155.9,,,,,,
,,38,177.9,,,,,,
